date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:00:36	146635/146635	---MCZ	200	added ('OK')	text/html	etag:W/%2263789446-23ccb%22	https://htmldemo.net/hmart/hmart/index.html	C:/Users/SL%20Laptop/Downloads/ElectronicStore/htmldemo.net/hmart/hmart/index.html	(from )
00:00:37	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Sep%202023%2019:00:37%20GMT	https://htmldemo.net/robots.txt		(from )
00:00:37	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2263789486-47e%22	https://htmldemo.net/hmart/hmart/assets/images/favicon.ico	C:/Users/SL%20Laptop/Downloads/ElectronicStore/htmldemo.net/hmart/hmart/assets/images/favicon.ico	(from https://htmldemo.net/hmart/hmart/index.html)
00:00:38	30896/30896	---MCZ	200	added ('OK')	text/css	etag:W/%226378946b-78b0%22	https://htmldemo.net/hmart/hmart/assets/css/font.awesome.css	C:/Users/SL%20Laptop/Downloads/ElectronicStore/htmldemo.net/hmart/hmart/assets/css/font.awesome.css	(from https://htmldemo.net/hmart/hmart/index.html)
00:00:38	8201/8201	---MCZ	200	added ('OK')	text/css	etag:W/%226378946d-2009%22	https://htmldemo.net/hmart/hmart/assets/css/pe-icon-7-stroke.css	C:/Users/SL%20Laptop/Downloads/ElectronicStore/htmldemo.net/hmart/hmart/assets/css/pe-icon-7-stroke.css	(from https://htmldemo.net/hmart/hmart/index.html)
00:00:39	194854/194854	---MCZ	200	added ('OK')	text/css	etag:W/%2263789469-2f926%22	https://htmldemo.net/hmart/hmart/assets/css/bootstrap.min.css	C:/Users/SL%20Laptop/Downloads/ElectronicStore/htmldemo.net/hmart/hmart/assets/css/bootstrap.min.css	(from https://htmldemo.net/hmart/hmart/index.html)
00:00:39	13933/13933	---MCZ	200	added ('OK')	text/css	etag:W/%2263789472-366d%22	https://htmldemo.net/hmart/hmart/assets/css/swiper-bundle.min.css	C:/Users/SL%20Laptop/Downloads/ElectronicStore/htmldemo.net/hmart/hmart/assets/css/swiper-bundle.min.css	(from https://htmldemo.net/hmart/hmart/index.html)
00:00:39	71757/71757	---MCZ	200	added ('OK')	text/css	etag:W/%2263789469-1184d%22	https://htmldemo.net/hmart/hmart/assets/css/animate.min.css	C:/Users/SL%20Laptop/Downloads/ElectronicStore/htmldemo.net/hmart/hmart/assets/css/animate.min.css	(from https://htmldemo.net/hmart/hmart/index.html)
00:00:40	20309/20309	---MCZ	200	added ('OK')	text/css	etag:W/%2263789474-4f55%22	https://htmldemo.net/hmart/hmart/assets/css/venobox.css	C:/Users/SL%20Laptop/Downloads/ElectronicStore/htmldemo.net/hmart/hmart/assets/css/venobox.css	(from https://htmldemo.net/hmart/hmart/index.html)
00:00:40	29052/29052	---MCZ	200	added ('OK')	text/css	etag:W/%226378946c-717c%22	https://htmldemo.net/hmart/hmart/assets/css/jquery-ui.min.css	C:/Users/SL%20Laptop/Downloads/ElectronicStore/htmldemo.net/hmart/hmart/assets/css/jquery-ui.min.css	(from https://htmldemo.net/hmart/hmart/index.html)
00:00:41	53516/53516	---MCZ	200	added ('OK')	text/html	etag:W/%2263789448-d10c%22	https://htmldemo.net/hmart/hmart/my-account.html	C:/Users/SL%20Laptop/Downloads/ElectronicStore/htmldemo.net/hmart/hmart/my-account.html	(from https://htmldemo.net/hmart/hmart/index.html)
00:00:41	1861/1861	---MC-	200	added ('OK')	image/png	date:Wed,%2027%20Sep%202023%2019:00:41%20GMT	https://htmldemo.net/hmart/hmart/assets/images/logo/logo.png	C:/Users/SL%20Laptop/Downloads/ElectronicStore/htmldemo.net/hmart/hmart/assets/images/logo/logo.png	(from https://htmldemo.net/hmart/hmart/index.html)
00:00:41	226477/226477	---MCZ	200	added ('OK')	text/css	etag:W/%2263789470-374ad%22	https://htmldemo.net/hmart/hmart/assets/css/style.css	C:/Users/SL%20Laptop/Downloads/ElectronicStore/htmldemo.net/hmart/hmart/assets/css/style.css	(from https://htmldemo.net/hmart/hmart/index.html)
00:00:42	62314/62314	---MCZ	200	added ('OK')	text/html	etag:W/%2263789430-f36a%22	https://htmldemo.net/hmart/hmart/about.html	C:/Users/SL%20Laptop/Downloads/ElectronicStore/htmldemo.net/hmart/hmart/about.html	(from https://htmldemo.net/hmart/hmart/index.html)
00:00:42	42114/42114	---MCZ	200	added ('OK')	text/html	etag:W/%2263789430-a482%22	https://htmldemo.net/hmart/hmart/404.html	C:/Users/SL%20Laptop/Downloads/ElectronicStore/htmldemo.net/hmart/hmart/404.html	(from https://htmldemo.net/hmart/hmart/index.html)
00:00:43	97068/97068	---MCZ	200	added ('OK')	text/html	etag:W/%2263789445-17b2c%22	https://htmldemo.net/hmart/hmart/index-2.html	C:/Users/SL%20Laptop/Downloads/ElectronicStore/htmldemo.net/hmart/hmart/index-2.html	(from https://htmldemo.net/hmart/hmart/index.html)
00:00:43	43597/43597	---MCZ	200	added ('OK')	text/html	etag:W/%226378944a-aa4d%22	https://htmldemo.net/hmart/hmart/order-tracking.html	C:/Users/SL%20Laptop/Downloads/ElectronicStore/htmldemo.net/hmart/hmart/order-tracking.html	(from https://htmldemo.net/hmart/hmart/index.html)
00:00:43	3908/3908	---MCZ	200	added ('OK')	text/html	etag:W/%226378943e-f44%22	https://htmldemo.net/hmart/hmart/coming-soon.html	C:/Users/SL%20Laptop/Downloads/ElectronicStore/htmldemo.net/hmart/hmart/coming-soon.html	(from https://htmldemo.net/hmart/hmart/index.html)
